"host_is_superhost","identity_varified_host","Allston","Back Bay","Beacon Hill","Brighton","Charlestown","Dorchester","Downtown","East Boston","Fenway","Jamaica Plain","Mission Hill","North End","Other","Roslindale","Roxbury","South Boston","South Boston Waterfront","South End","is_apartment","is_condominium","is_house","is_other_type","is_Entire_home/apt","is_Private_room","is_shared_room","accommodates","bathrooms","bedrooms","beds","Airbed","Couch","Futon","Pull-out Sofa","Real Bed","price","is_deposit","is_clean_fee","guests_included","is_extra_people","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","Cancellation_policy_flexible","Cancellation_policy_moderate","Cancellation_policy_strict","Cancellation_policy_SuperStrict","reviews_per_month"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","2","1","1","1","0","0","0","0","1","90.00 ","0","0","1","0","43","95","10","9","10","10","9","9","0","0","1","0","1.06"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","2","1","1","1","0","0","0","0","1","95.00 ","0","1","1","0","33","99","10","10","10","10","10","10","0","1","0","0","4.02"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","2","1","1","1","0","0","0","0","1","67.00 ","0","1","1","1","20","96","10","9","10","10","9","10","1","0","0","0","0.58"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","6","1","2","2","0","0","0","0","1","200.00 ","1","1","4","1","2","100","10","10","10","10","9","10","0","0","1","0","0.38"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","0","0","1","49.00 ","0","0","1","1","10","98","9","9","10","10","9","10","0","0","1","0","0.72"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","1.5","1","1","0","0","0","0","1","75.00 ","0","0","1","0","17","96","10","10","10","10","10","10","1","0","0","0","0.59"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","4","1","1","2","0","0","0","0","1","110.00 ","0","1","2","1","55","87","9","9","10","10","9","9","0","0","1","0","2.36"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","16","1","3","5","0","0","0","0","1","125.00 ","1","1","1","1","24","91","10","10","10","10","9","9","0","0","1","0","2.07"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","16","2.5","3","7","0","0","0","0","1","200.00 ","1","1","1","1","82","95","10","10","10","10","10","9","0","0","1","0","4.32"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","2","2","1","1","0","0","0","0","1","75.00 ","0","1","1","1","20","97","10","10","10","10","10","10","0","1","0","0","0.87"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","0","0","1","78.00 ","1","1","1","0","21","95","9","9","10","10","9","9","1","0","0","0","0.87"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","1","1","0","0","0","0","1","60.00 ","0","0","1","1","143","98","10","10","10","10","9","10","1","0","0","0","4.39"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","1.5","1","1","0","0","0","0","1","45.00 ","0","0","1","0","2","100","9","10","10","9","7","9","1","0","0","0","0.54"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","4","1","2","2","0","0","0","0","1","145.00 ","1","1","3","1","26","92","10","10","10","10","9","9","0","0","1","0","0.74"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","2","2","1","1","0","0","0","0","1","45.00 ","0","0","1","1","5","96","10","9","10","10","9","9","1","0","0","0","3.13"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","2","1.5","1","1","0","0","0","0","1","85.00 ","0","1","1","0","29","97","10","10","10","10","9","10","0","1","0","0","1.67"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","0","0","1","75.00 ","1","1","1","1","9","93","9","10","10","10","10","10","0","0","1","0","0.37"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","2","2","1","1","0","0","0","0","1","50.00 ","0","0","1","1","14","99","10","10","10","10","9","10","1","0","0","0","1.23"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","2.5","1","1","0","0","0","0","1","45.00 ","0","0","1","0","8","97","10","9","10","10","9","10","1","0","0","0","0.33"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","2","1","0","1","0","0","0","0","1","89.00 ","1","1","2","1","3","100","10","10","10","10","10","10","0","0","1","0","0.12"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","7","2","3","3","0","0","0","0","1","285.00 ","1","1","5","1","2","80","10","10","10","10","8","6","0","0","1","0","1.15"
"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","1","1","0","0","0","0","1","70.00 ","0","1","1","1","23","93","9","8","10","10","10","9","0","0","1","0","0.46"
"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","1","1","1","0","0","0","0","1","120.00 ","0","0","1","0","58","97","10","10","10","10","9","10","1","0","0","0","2.36"
"1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","1","1","0","0","0","0","1","65.00 ","0","0","1","0","1","100","10","8","10","10","10","10","1","0","0","0","0.07"
"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","1","1","1","0","0","0","0","1","75.00 ","1","0","1","0","4","100","9","10","10","9","10","9","1","0","0","0","0.62"
"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","1","1","1","0","0","0","0","1","65.00 ","0","1","1","1","2","90","9","9","9","9","10","9","0","0","1","0","0.16"
